"種類","公差記号","最小径超","最大径以下","上限公差 μm","下限公差 μm","状態","備考"
"shaft","f6","0","3","-6","-12","登録済",""
"shaft","f6","3","6","-10","-18","登録済",""
"shaft","f6","6","10","-13","-22","登録済",""
"shaft","f6","10","18","-16","-27","登録済",""
"shaft","f6","18","30","-20","-33","登録済",""
"shaft","f6","30","50","-25","-41","登録済",""
"shaft","f6","50","80","-30","-49","登録済",""
"shaft","f6","80","120","-36","-58","登録済",""
"shaft","f6","120","180","-43","-68","登録済",""
"shaft","f6","180","250","-50","-79","登録済",""
"shaft","f6","250","315","-56","-88","登録済",""
"shaft","f6","315","400","-62","-98","登録済",""
"shaft","f6","400","500","-68","-108","登録済",""
"shaft","f7","0","3","-6","-16","登録済",""
"shaft","f7","3","6","-10","-22","登録済",""
"shaft","f7","6","10","-13","-28","登録済",""
"shaft","f7","10","18","-16","-34","登録済",""
"shaft","f7","18","30","-20","-41","登録済",""
"shaft","f7","30","50","-25","-50","登録済",""
"shaft","f7","50","80","-30","-60","登録済",""
"shaft","f7","80","120","-36","-71","登録済",""
"shaft","f7","120","180","-43","-83","登録済",""
"shaft","f7","180","250","-50","-96","登録済",""
"shaft","f7","250","315","-56","-108","登録済",""
"shaft","f7","315","400","-62","-117","登録済",""
"shaft","f7","400","500","-68","-131","登録済",""
"shaft","f8","0","3","-6","-20","登録済",""
"shaft","f8","3","6","-10","-28","登録済",""
"shaft","f8","6","10","-13","-35","登録済",""
"shaft","f8","10","18","-16","-43","登録済",""
"shaft","f8","18","30","-20","-53","登録済",""
"shaft","f8","30","50","-25","-64","登録済",""
"shaft","f8","50","80","-30","-76","登録済",""
"shaft","f8","80","120","-36","-90","登録済",""
"shaft","f8","120","180","-43","-106","登録済",""
"shaft","f8","180","250","-50","-122","登録済",""
"shaft","f8","250","315","-56","-137","登録済",""
"shaft","f8","315","400","-62","-151","登録済",""
"shaft","f8","400","500","-68","-165","登録済",""
"shaft","g5","0","3","-2","-6","登録済",""
"shaft","g5","3","6","-4","-9","登録済",""
"shaft","g5","6","10","-5","-11","登録済",""
"shaft","g5","10","18","-6","-14","登録済",""
"shaft","g5","18","30","-7","-16","登録済",""
"shaft","g5","30","50","-9","-20","登録済",""
"shaft","g5","50","80","-10","-23","登録済",""
"shaft","g5","80","120","-12","-27","登録済",""
"shaft","g5","120","180","-14","-32","登録済",""
"shaft","g5","180","250","-15","-35","登録済",""
"shaft","g5","250","315","-17","-40","登録済",""
"shaft","g5","315","400","-18","-43","登録済",""
"shaft","g5","400","500","-20","-47","登録済",""
"shaft","g6","0","3","-2","-8","登録済",""
"shaft","g6","3","6","-4","-12","登録済",""
"shaft","g6","6","10","-5","-14","登録済",""
"shaft","g6","10","18","-6","-17","登録済",""
"shaft","g6","18","30","-7","-20","登録済",""
"shaft","g6","30","50","-9","-25","登録済",""
"shaft","g6","50","80","-10","-29","登録済",""
"shaft","g6","80","120","-12","-34","登録済",""
"shaft","g6","120","180","-14","-39","登録済",""
"shaft","g6","180","250","-15","-44","登録済",""
"shaft","g6","250","315","-17","-49","登録済",""
"shaft","g6","315","400","-18","-54","登録済",""
"shaft","g6","400","500","-20","-60","登録済",""
"shaft","h5","0","3","0","-4","登録済",""
"shaft","h5","3","6","0","-5","登録済",""
"shaft","h5","6","10","0","-6","登録済",""
"shaft","h5","10","18","0","-8","登録済",""
"shaft","h5","18","30","0","-9","登録済",""
"shaft","h5","30","50","0","-11","登録済",""
"shaft","h5","50","80","0","-13","登録済",""
"shaft","h5","80","120","0","-15","登録済",""
"shaft","h5","120","180","0","-18","登録済",""
"shaft","h5","180","250","0","-20","登録済",""
"shaft","h5","250","315","0","-23","登録済",""
"shaft","h5","315","400","0","-25","登録済",""
"shaft","h5","400","500","0","-27","登録済",""
"shaft","h6","0","3","0","-6","登録済",""
"shaft","h6","3","6","0","-8","登録済",""
"shaft","h6","6","10","0","-9","登録済",""
"shaft","h6","10","18","0","-11","登録済",""
"shaft","h6","18","30","0","-13","登録済",""
"shaft","h6","30","50","0","-16","登録済",""
"shaft","h6","50","80","0","-19","登録済",""
"shaft","h6","80","120","0","-22","登録済",""
"shaft","h6","120","180","0","-25","登録済",""
"shaft","h6","180","250","0","-29","登録済",""
"shaft","h6","250","315","0","-32","登録済",""
"shaft","h6","315","400","0","-36","登録済",""
"shaft","h6","400","500","0","-40","登録済",""
"shaft","h7","0","3","0","-10","登録済",""
"shaft","h7","3","6","0","-12","登録済",""
"shaft","h7","6","10","0","-15","登録済",""
"shaft","h7","10","18","0","-18","登録済",""
"shaft","h7","18","30","0","-21","登録済",""
"shaft","h7","30","50","0","-25","登録済",""
"shaft","h7","50","80","0","-30","登録済",""
"shaft","h7","80","120","0","-35","登録済",""
"shaft","h7","120","180","0","-40","登録済",""
"shaft","h7","180","250","0","-46","登録済",""
"shaft","h7","250","315","0","-52","登録済",""
"shaft","h7","315","400","0","-57","登録済",""
"shaft","h7","400","500","0","-63","登録済",""
"shaft","h8","0","3","0","-14","登録済",""
"shaft","h8","3","6","0","-18","登録済",""
"shaft","h8","6","10","0","-22","登録済",""
"shaft","h8","10","18","0","-27","登録済",""
"shaft","h8","18","30","0","-33","登録済",""
"shaft","h8","30","50","0","-39","登録済",""
"shaft","h8","50","80","0","-46","登録済",""
"shaft","h8","80","120","0","-54","登録済",""
"shaft","h8","120","180","0","-63","登録済",""
"shaft","h8","180","250","0","-72","登録済",""
"shaft","h8","250","315","0","-81","登録済",""
"shaft","h8","315","400","0","-89","登録済",""
"shaft","h8","400","500","0","-97","登録済",""
"shaft","h9","0","3","0","-25","登録済",""
"shaft","h9","3","6","0","-30","登録済",""
"shaft","h9","6","10","0","-36","登録済",""
"shaft","h9","10","18","0","-43","登録済",""
"shaft","h9","18","30","0","-52","登録済",""
"shaft","h9","30","50","0","-62","登録済",""
"shaft","h9","50","80","0","-74","登録済",""
"shaft","h9","80","120","0","-87","登録済",""
"shaft","h9","120","180","0","-100","登録済",""
"shaft","h9","180","250","0","-115","登録済",""
"shaft","h9","250","315","0","-130","登録済",""
"shaft","h9","315","400","0","-140","登録済",""
"shaft","h9","400","500","0","-155","登録済",""
"shaft","js5","0","3","2","-2","登録済",""
"shaft","js5","3","6","2.5","-2.5","登録済",""
"shaft","js5","6","10","3","-3","登録済",""
"shaft","js5","10","18","4","-4","登録済",""
"shaft","js5","18","30","4.5","-4.5","登録済",""
"shaft","js5","30","50","5.5","-5.5","登録済",""
"shaft","js5","50","80","6.5","-6.5","登録済",""
"shaft","js5","80","120","7.5","-7.5","登録済",""
"shaft","js5","120","180","9","-9","登録済",""
"shaft","js5","180","250","10","-10","登録済",""
"shaft","js5","250","315","11.5","-11.5","登録済",""
"shaft","js5","315","400","12.5","-12.5","登録済",""
"shaft","js5","400","500","13.5","-13.5","登録済",""
"shaft","js6","0","3","3","-3","登録済",""
"shaft","js6","3","6","4","-4","登録済",""
"shaft","js6","6","10","4.5","-4.5","登録済",""
"shaft","js6","10","18","5.5","-5.5","登録済",""
"shaft","js6","18","30","6.5","-6.5","登録済",""
"shaft","js6","30","50","8","-8","登録済",""
"shaft","js6","50","80","9.5","-9.5","登録済",""
"shaft","js6","80","120","11","-11","登録済",""
"shaft","js6","120","180","12.5","-12.5","登録済",""
"shaft","js6","180","250","14.5","-14.5","登録済",""
"shaft","js6","250","315","16","-16","登録済",""
"shaft","js6","315","400","18","-18","登録済",""
"shaft","js6","400","500","20","-20","登録済",""
"shaft","js7","0","3","4","-4","登録済",""
"shaft","js7","3","6","6","-6","登録済",""
"shaft","js7","6","10","7.5","-7.5","登録済",""
"shaft","js7","10","18","9.5","-9.5","登録済",""
"shaft","js7","18","30","10.5","-10.5","登録済",""
"shaft","js7","30","50","12.5","-12.5","登録済",""
"shaft","js7","50","80","15","-15","登録済",""
"shaft","js7","80","120","17.5","-17.5","登録済",""
"shaft","js7","120","180","20","-20","登録済",""
"shaft","js7","180","250","23","-23","登録済",""
"shaft","js7","250","315","26","-26","登録済",""
"shaft","js7","315","400","28.5","-28.5","登録済",""
"shaft","js7","400","500","31.5","-31.5","登録済",""
"shaft","k5","0","3","4","0","登録済",""
"shaft","k5","3","6","6","1","登録済",""
"shaft","k5","6","10","7","1","登録済",""
"shaft","k5","10","18","9","1","登録済",""
"shaft","k5","18","30","11","2","登録済",""
"shaft","k5","30","50","13","2","登録済",""
"shaft","k5","50","80","15","2","登録済",""
"shaft","k5","80","120","18","3","登録済",""
"shaft","k5","120","180","21","3","登録済",""
"shaft","k5","180","250","24","4","登録済",""
"shaft","k5","250","315","27","4","登録済",""
"shaft","k5","315","400","29","4","登録済",""
"shaft","k5","400","500","32","5","登録済",""
"shaft","k6","0","3","6","0","登録済",""
"shaft","k6","3","6","9","1","登録済",""
"shaft","k6","6","10","10","1","登録済",""
"shaft","k6","10","18","12","1","登録済",""
"shaft","k6","18","30","15","2","登録済",""
"shaft","k6","30","50","18","2","登録済",""
"shaft","k6","50","80","21","2","登録済",""
"shaft","k6","80","120","25","3","登録済",""
"shaft","k6","120","180","28","3","登録済",""
"shaft","k6","180","250","33","4","登録済",""
"shaft","k6","250","315","36","4","登録済",""
"shaft","k6","315","400","40","4","登録済",""
"shaft","k6","400","500","45","5","登録済",""
